symbol,cryptocurrency
ion,ION
itc,IoT Chain
miota,IOTA
iqt,iQuant
irl,IrishCoin
isl,IslaCoin
iti,iTicoin
ixc,Ixcoin
ixt,iXledger
jns,Janus
js,JavaScript Token
jet,Jetcoin
jwl,Jewels
jin,Jin Coin
swtc,Jingtum Tech
jinn,Jinn
jobs,JobsCoin
j,Joincoin
xjo,Joulecoin
krb,Karbo
krm,Karma
karma,Karmacoin
kashh,KashhCoin
kayi,Kayicoin
kcash,Kcash
kek,KekCoin
kick,KickCoin
klc,KiloCoin
kin,Kin
knc,KingN Coin
kobo,Kobocoin
kln,Kolion
kmd,Komodo
kore,Kore
krone,Kronecoin
kbr,Kubera Coin
kcs,KuCoin Shares
kurt,Kurrent
kush,KushCoin
knc,Kyber Network
kzc,Kzcash
tau,Lamden
pix,Lampix
lana,LanaCoin
ldcn,LandCoin
lth,LAthaan
la,LAToken
laz,Lazaruscoin
lbc,LBRY Credits
lea,LeaCoin
leek,Leek Coin
lgd,Legends Room
lct,LendConnect
leo,LEOcoin
lepen,LePen
lir,LetItRide
lev,Leverj
xlc,LeviarCoin
lvps,LevoPlus
lex,Lex4All
life,LIFE
lbtc,Lightning Bitcoin
linda,Linda
lnk,Link Platform
lkc,LinkedCoin
linx,Linx
lsk,Lisk
ltb,LiteBar
lbtc,LiteBitcoin
ltc,Litecoin
ltg,LiteCoin Gold
lcp,Litecoin Plus
ltcu,LiteCoin Ultra
ltcr,Litecred
ldoge,LiteDoge
llt,LLToken
loc,LockChain
lmc,LoMoCoin
lrc,Loopring
lot,LottoCoin
bash,LuckChain
luna,Luna Coin
lun,Lunyr
lux,LUXCoin
lkk,Lykke
mac,Machinecoin
mcr,Macro
mcrn,MACRON
mdc,Madcoin
art,Maecenas
xmg,Magi
mage,MagicCoin
mag,Magnet
magn,Magnetcoin
mgm,Magnum
maid,MaidSafeCoin
mkr,Maker
mao,Mao Zedong
mar,Marijuanacoin
mars,Marscoin
mxt,MarteXcoin
marx,MarxCoin
mscn,Master Swiscoin
mtnc,Masternodecoin
gup,Matchpool
mtx,Matryx
mavro,Mavro
max,MaxCoin
mzc,MazaCoin
mcap,MCAP
mdt,Measurable Data Token
med,MediBloc
mds,MediShares
mec,Megacoin
mln,Melon
meme,Memetic / PepeCoin
mer,Mercury
gmt,Mercury Protocol
mgc,MergeCoin
mtl,Metal
mtlmc3,Metal Music Coin
metal,MetalCoin
etp,Metaverse ETP
amm,MicroMoney
milo,MiloCoin
mnc,Mincoin
mnd,MindCoin
mne,Minereum
mrt,Miners’ Reward Token
mnm,Mineum
minex,Minex
mnx,MinexCoin
mint,Mintcoin
xin,Mixin
mmxvi,MMXVI
mbl,MobileCash
mgo,MobileGo
mod,Modum
mda,Moeda Loyalty Points
moin,Moin
mojo,MojoCoin
mco,Monaco
mona,MonaCoin
xmr,Monero
moneta,Moneta
mue,MonetaryUnit
mth,Monetha
$$$,Money
money,MoneyCoin
monk,Monkey Project
xmcc,Monoeci
mbi,Monster Byte
moon,Mooncoin
mrng,MorningStar
msp,Mothership
moto,Motocoin
msd,MSD
mtm,MTMGaming
music,Musicoin
mci,Musiconomi
mst,MustangCoin
mut,Mutual Coin
myb,MyBit Token
xmy,Myriad
myst,Mysterium
wish,MyWish
ngc,NAGA
nmc,Namecoin
namo,NamoCoin
ntc,Natcoin
nav,NAV Coin
nebl,Neblio
nas,Nebulas
nuko,Nekonium
xem,NEM
neo,NEO
neog,NEO GOLD
neos,NeosCoin
nbit,netBit
net,NetCoin
netko,Netko
ntwk,Network Token
neu,Neumark
nro,Neuro
ntrn,Neutron
neva,NevaCoin
ndc,NEVERDIE
newb,Newbium
nyc,NewYorkCoin
nxc,Nexium
nxs,Nexus
nimfa,Nimfamoney
net,Nimiq
nobl,NobleCoin
nodc,NodeCoin
nlc2,NoLimitCoin
nvc,Novacoin
usnbt,NuBits
nuls,Nuls
nmr,Numeraire
nms,Numus
numus,NumusCash
nsr,NuShares
nvst,NVO
nxt,Nxt
nyan,Nyancoin
oax,OAX
obits,OBITS
odn,Obsidian
ocl,Oceanlab
ocow,OCOW
otx,Octanox
888,OctoCoin
ok,OKCash
mot,Olympus Labs
omc,Omicron
omg,OmiseGO
omni,Omni
ong,onG.social
onx,Onix
opc,OP Coin
opal,Opal
otn,Open Trading Network
op,Operand
opes,Opescoin
opt,Opus
oct,OracleChain
orb,Orbitcoin
orly,Orlycoin
orme,Ormeus Coin
os76,OsmiumCoin
ox,OX Fina
oxy,Oxycoin
prl,Oyster
p7c,P7Coin
pcs,Pabyosi Coin (Special)
pac,PACcoin
pak,Pakcoin
pnd,Pandacoin
prg,Paragon
duo,ParallelCoin
pkb,ParkByte
part,Particl
pasc,Pascal Coin
pasl,Pascal Lite
ptoy,Patientory
xpy,PayCoin
con,PayCon
pfr,Payfair
payp,PayPeer
payx,Paypex
ppp,PayPie
pec,Peacecoin
pcn,PeepCoin
ppc,Peercoin
ppy,Peerplays
men,PeopleCoin
pepecash,Pepe Cash
ptc,Pesetacoin
xpd,PetroDollar
pnx,Phantomx
phs,Philosopher Stones
pxc,Phoenixcoin
phr,Phore
pho,Photon
pie,PIECoin
piggy,Piggycoin
plr,Pillar
pink,PinkCoin
pdg,PinkDog
pcoin,Pioneer Coin
pipl,PiplCoin
skull,Pirate Blocks
pirl,Pirl
pivx,PIVX
pizza,PizzaCoin
xptx,PlatinumBAR
placo,PlayerCoin
pkt,Playkey
plx,PlexCoin
plnc,PLNcoin
plc,PlusCoin
plu,Pluton
poe,Po.et
poke,PokeCoin
polis,Polis
ai,POLY AI
plbt,Polybius
ponzi,PonziCoin
pop,PopularCoin
ppt,Populous
pex,PosEx
post,PostCoin
pos,PoSToken
posw,PoSW Coin
pot,PotCoin
powr,Power Ledger
prc,PRCoin
prs,Presearch
gary,President Johnson
pres,President Trump
pbt,Primalbase Token
pst,Primas
xpm,Primecoin
pxi,Prime-XI
primu,Primulon
prx,Printerium
prm,PrismChain
prix,Privatix
pzm,PRIZM
pro,ProChain
proc,ProCurrency
pdc,Project Decorum
nanox,Project-X
pro,Propy
pgl,Prospectors Gold
prn,Protean
pr,Prototanium
psy,Psilocybin
pbl,Publica
pulse,Pulse
pura,Pura
pure,Pure
vidz,PureVidz
put,PutinCoin
px,PX
pylnt,Pylon Network
qash,QASH
qbt,Qbao
qbk,Qibuck Asset
qlc,QLINK
qora,Qora
qtum,Qtum
qsp,Quantstamp
qau,Quantum
qrl,Quantum Resistant Ledger
qrk,Quark
qtl,Quatloo
qcn,QuazarCoin
q2c,QubitCoin
qbc,Quebecoin
qun,QunQun
xqn,Quotient
qvt,Qvolta
qwark,Qwark
rbbt,RabbitCoin
rads,Radium
xrb,RaiBlocks
rdn,Raiden Network Token
roc,Rasputin Online Coin
xra,Ratecoin
xrc,Rawcoin
rhoc,RChain
rcn,Rcoin
real,REAL
rebl,Rebellious
rpx,Red Pulse
red,RedCoin
rdd,ReddCoin
ree,ReeCoin
rega,Regacoin
rec,Regalcoin
rmc,Remicoin
rns,Renos
req,Request Network
r,Revain
xre,RevolverCoin
rex,REX
rhfc,RHFCoin
xrl,Rialto
richx,RichCoin
ride,Ride My Car
ric,Riecoin
rbt,Rimbit
rcn,Ripio Credit Network
xrp,Ripple
rbx,Ripto Bux
rise,Rise
rvt,Rivetz
rpc,RonPaulCoin
roofs,Roofs
rlt,RouletteToken
rkc,Royal Kingdom Coin
royal,RoyalCoin
xry,Royalties
rsgp,RSGPcoin
rbies,Rubies
rubit,RubleBit
rby,Rubycoin
runners,Runners
rupx,Rupaya
rupx,Rupaya [OLD]
rup,Rupee
rc,RussiaCoin
rmc,Russian Miner Coin
rustbits,Rustbits
sac,SACoin
safex,Safe Exchange Coin
xstc,Safe Trade Coin
sfe,SafeCoin
saga,SagaCoin
skr,Sakuracoin
salt,SALT
sls,SaluS
snd,Sand Coin
stc,Santa Coin
san,Santiment Network Token
stv,Sativacoin
mad,SatoshiMadness
sandg,Save and Gain
score,Scorecoin
scrt,SecretCoin
src,SecureCoin
b2x,SegWit2x
slfi,Selfiecoin
sdrn,Senderon
seq,Sequence
sxc,Sexcoin
sha,SHACoin
shdw,Shadow Token
sdc,ShadowCash
sss,Sharechain
sak,Sharkcoin
shell,ShellCoin
xsh,SHIELD
shift,Shift
sh,Shilling
shorty,Shorty
show,Show
sc,Siacoin
sib,SIBCoin
sigma,SIGMAcoin
sigt,Signatum
ost,Simple Token
sngls,SingularDTV
srn,SIRIN LABS Token
sisa,SISA
611,SixEleven
skc,Skeincoin
skin,SkinCoin
sky,Skycoin
slevin,Slevin
sling,Sling
sift,Smart Investment Fund Token
smart,SmartBillions
smart,SmartCash
smc,SmartCoin
smt,SmartMesh
smly,SmileyCoin
snake,SnakeEyes
snov,Snovio
soar,Soarcoin
scl,Social
send,Social Send
socc,SocialCoin
soil,SOILcoin
soj,Sojourn
slr,SolarCoin
sfc,Solarflarecoin
xlr,Solaris
sct,Soma
song,SongCoin
snm,SONM
soon,SoonCoin
sphtx,SophiaTX
hero,Sovereign Hero
space,SpaceCoin
spank,SpankChain
sxdt,Spectre.ai Dividend Token
sxut,Spectre.ai Utility Token
xspec,Spectrecoin
scs,Speedcash
sphr,Sphere
xid,Sphre AIR
sport,SportsCoin
spf,SportyFi
spt,Spots
spr,SpreadCoin
sprts,Sprouts
spex,SproutsExtreme
star,Starbase
stars,StarCash Network
strc,StarCredits
sta,Starta
start,Startcoin
snt,Status
xst,Stealthcoin
steem,Steem
sbd,Steem Dollars
xlm,Stellar
stn,Steneum Coin
steps,Steps
slg,Sterlingcoin
stex,STEX
storj,Storj
sjcx,Storjcoin X
storm,Storm
stx,Stox
stak,STRAKS
strat,Stratis
data,Streamr DATAcoin
sts,Stress
sbc,StrikeBitClub
shnd,StrongHands
sub,Substratum
sgr,Sugar Exchange
sumo,Sumokoin
snc,SunContract
sbtc,Super Bitcoin
super,SuperCoin
unity,SuperNET
sur,Suretly
bucks,SwagBucks
swp,Swapcoin
token,SwapToken
swt,Swarm City
swftc,SwftCoin
swing,Swing
sic,Swisscoin
sdp,SydPak
synx,Syndicate
amp,Synereo
snrg,Synergy
sys,Syscoin
taas,TaaS
tag,TagCoin
tagr,TAGRcoin
taj,TajCoin
xto,Tao
tgt,Target Coin
tle,Tattoocoin (Limited Edition)
tse,Tattoocoin (Standard Edition)
tcoin,T-coin
team,TeamUp
ths,TechShares
tek,TEKcoin
tell,Tellurion
pay,TenX
tera,TeraCoin
trc,Terracoin
ter,TerraNova
tesla,TeslaCoilCoin
tes,TeslaCoin
usdt,Tether
xtz,Tezos (Pre-Launch)
tcc,The ChampCoin
funk,The Cypherfunks
xve,The Vegan Initiative
tcr,TheCreed
gcc,TheGCCcoin
may,Theresa May Coin
tnt,Tierion
tie,TIES Network
tgc,Tigercoin
tnb,Time New Bank
tit,Titcoin
ttc,TittieCoin
toa,ToaCoin
today,TodayCoin
tkn,TokenCard
tct,TokenClub
tks,Tokes
tok,Tokugawa
topaz,Topaz Coin
topc,TopChain
top,TopCoin
tor,Torcoin
trct,Tracto
tio,Trade Token
tx,TransferCoin
tzc,TrezarCoin
tria,Triaconta
tri,Triangles
trick,TrickyCoin
trdt,Trident Group
trig,Triggers
tstr,Tristar Coin
troll,Trollcoin
trx,TRON
trk,Truckcoin
tfl,TrueFlip
trump,TrumpCoin
trust,TrustPlus
turbo,TurboCoin
tycho,Tychocoin
uahpay,UAHPay
ubq,Ubiq
ufo,UFO Coin
ugt,UG Token
gain,UGAIN
ugc,ugChain
ula,Ulatech
usc,Ultimate Secure Cash
utc,UltraCoin
unb,UnbreakableCoin
unc,UNCoin
unic,UniCoin
unify,Unify
ukg,Unikoin Gold
ubtc,United Bitcoin
utt,United Traders Token
uis,Unitus
uny,Unity Ingot
unit,Universal Currency
unrc,UniversalRoyalCoin
uni,Universe
uno,Unobtanium
urc,Unrealcoin
ufr,Upfiring
uqc,Uquid Coin
ur,UR
uro,Uro
usde,USDe
uet,Useless Ethereum Token
uta,UtaCoin
utk,UTRUST
val,Valorbit
vprc,VapersCoin
vltc,Vault Coin
xvc,Vcash
ven,VeChain
vec2,VectorAI
vlt,Veltor
xvg,Verge
vrc,VeriCoin
cred,Verify
veri,Veritaseum
vrm,VeriumReserve
vrs,Veros
v,Version
vtc,Vertcoin
vzt,Vezt
via,Viacoin
vibe,VIBE
vib,Viberate
vip,VIP Tokens
vuc,Virta Unique Coin
vta,Virtacoin
xvp,Virtacoinplus
vc,VirtualCoin
visio,Visio
viu,Viuly
vivo,VIVO
voise,Voise
vot,VoteCoin
vox,Voxels
voya,oyacoin
vash,PNCoin
vsl,Slice
vsx,sync
vtr,Torrent
vulc,ulcano
wa,A Space
wabi,aBi
wgr,agerr
wtc,alton
wand,andX
warp,ARP
waves,aves
wct,aves Community Token
wgo,avesGo
wax,AX
way,ayGuide
wic,aykiChain
wsx,eAreSatoshi
trst,eTrust
whl,haleCoin
xwc,hiteCoin
wic,i Coin
wbb,ild Beast Block
wild,ild Crypto
wc,INCOIN
wings,ings
wink,ink
wmc,MCoin
women,omenCoin
log,oodcoin
wdc,orldCoin
wrc,orldcore
wow,owcoin
x2,2
xau,aucoin
xaur,aurum
xco,#NAME?
xde2,DE II
xnn,enon
xgox,GOX
xios,ios
xoc,onecoin
xpa,Play
xtd,TD Coin
xby,TRABYTES
xylo,YLO
yac,acoin
yash,ashCoin
yel,ellow Token
ytn,ENTEN
yes,escoin
yoc,ocoin
yoyow,OYOW
zap,ap
zyd,ayedcoin
zec,cash
zcl,Classic
xzc,Coin
zeit,eitcoin
zen,enCash
zengold,enGold
zeni,ennies
zeph,ephyr
zer,ero
zet,etacoin
zmc,etaMicron
zsc,eusshield
zbc,ilbercoin
zcg,lancer
zoi,oin
zne,onecoin
zzc,oZoCoin
zrc,rCoin
zse,SEcoin
zur,urcoin
